Unnamed: 0,Edad,Tipo de trabajador,Nivel Educativo,Salario por hora,Estado civil,Sexo,Personas a cargo,Semanas trabajadas por año,"Buen
Desempeño"
,69,Privado,9 grado,678,Divorciado,Femenino,2,52,No
,36,Independiente,Universitario sin graduar,1818,Soltero,Masculino,1,52,Si
,18,Privado,Universitario,6137,Soltero,Femenino,2,45,Si
,29,Desconocido,10 grado,5208,Soltero,Femenino,1,42,No
,47,Desconocido,Niño,9863,Soltero,Masculino,0,26,No
,66,Independiente,Universitario sin graduar,4044,Casado,Femenino,1,52,No
,61,Desconocido,Niño,5222,Soltero,Masculino,0,24,Si
,34,Desconocido,Niño,894,Soltero,Femenino,0,32,No
,51,Desconocido,9 grado,5893,Soltero,Masculino,0,26,No
,23,Privado,Magister,7233,Soltero,Masculino,6,52,Si
,36,Privado,Licenciatura,2272,Soltero,Femenino,6,52,Si
,33,Gobierno local,Universitario,785,Casado,Femenino,6,44,No
,46,Privado,Bachiller,8098,Casado,Masculino,6,52,No
,18,Desconocido,Universitario sin graduar,6516,Divorciado,Masculino,6,52,No
,69,Desconocido,Niño,5491,Soltero,Masculino,0,26,No
,54,Desconocido,Niño,7038,Soltero,Masculino,0,26,Si
,50,Desempleado,Universitario sin graduar,2926,Casado,Masculino,6,52,No
,22,Desconocido,10 grado,5910,Soltero,Masculino,1,42,Si
,61,Desconocido,3 primaria,2425,Soltero,Masculino,0,22,No
,65,Desconocido,Bachiller,5590,Soltero,Masculino,0,18,No
,56,Desconocido,10 grado,5091,Casado,Femenino,0,22,Si
,48,Privado,Licenciatura,4542,Divorciado,Femenino,4,52,Si
,40,Privado,Bachiller,400,Soltero,Masculino,6,52,Si
,23,Privado,Bachiller,980,Casado,Masculino,3,52,No
,56,Privado,9 grado,9204,Soltero,Masculino,1,52,No
,54,Desconocido,Bachiller,2931,Casado,Femenino,0,26,No
,18,Privado,Universitario sin graduar,4755,Separado,Femenino,1,52,No
,65,Privado,Bachiller,5651,Casado,Femenino,3,52,Si
,32,Independiente,Universitario sin graduar,7705,Soltero,Masculino,3,52,No
,50,Roberto Gómez,7 grado,4685,Soltero,Masculino,0,26,Si
,54,Privado,9 grado,227,Soltero,Femenino,5,52,Si
,61,Gobierno local,Magister,5434,Divorciado,Femenino,6,52,No
,18,Desconocido,Niño,922,Soltero,Masculino,0,21,No
,18,Desconocido,Niño,1882,Soltero,Masculino,0,24,No
,29,Desconocido,Licenciatura,9610,Soltero,Femenino,6,47,No
,36,Privado,Bachiller,1901,Casado,Femenino,4,52,Si
,48,Desconocido,Niño,8197,Soltero,Femenino,0,28,No
,44,Privado,Bachiller,998,Casado,Masculino,3,51,Si
,30,Privado,Bachiller,7066,Casado,Femenino,2,52,Si
,25,Privado,Bachiller,6213,Viudo,Femenino,0,32,No
,34,Privado,Bachiller,800,Divorciado,Casa Verde,6,51,No
,24,Privado,Universitario,6963,Soltero,Masculino,0,30,Si
,21,Privado,Universitario,1315,Casado,Masculino,4,52,No
,69,Privado,Licenciatura,2474,Casado,Femenino,1,47,Si
,62,Desempleado,Bachiller,4017,Divorciado,Femenino,6,52,Si
,44,Desconocido,Universitario sin graduar,6371,Viudo,Femenino,0,31,No
,51,Privado,Universitario sin graduar,1836,Casado,Femenino,4,52,Si
,60,Desconocido,Bachiller,2586,Viudo,Femenino,0,26,No
,27,Desconocido,Menor de 1 primero primaria,8082,Soltero,Femenino,0,28,No
,56,Desconocido,9 grado,4014,Soltero,Masculino,0,18,No
,24,Privado,Técnico,3803,Soltero,Femenino,6,52,Si
,37,Desconocido,Niño,4032,Soltero,Femenino,0,32,No
,44,Desconocido,Niño,7494,Soltero,Masculino,0,22,Si
,34,Privado,Bachiller,447,Casado,Masculino,3,49,Si
,50,Privado,Bachiller,4040,Soltero,Femenino,4,48,No
,62,Nunca ha trabajado,3 primaria,2278,Soltero,Femenino,0,19,No
,24,Desconocido,Universitario sin graduar,5783,Soltero,Femenino,0,19,No
,19,Gobierno local,Licenciatura,5933,Casado,Femenino,3,52,Si
,25,Privado,Técnico,2100,Casado,Masculino,6,52,No
,54,Independiente,Universitario,7759,Casado,Femenino,1,45,No
,65,Privado,Grado 11 sin diploma,1320,Casado,Masculino,6,52,No
,39,Desconocido,Niño,186,Soltero,Femenino,0,27,Si
,51,Privado,Universitario sin graduar,9701,Soltero,Femenino,6,52,No
,68,Desconocido,Niño,7096,Soltero,Femenino,0,32,No
,24,Privado,Bachiller,1300,Casado,Masculino,6,52,Si
,26,Privado,Técnico,8092,Soltero,Masculino,6,52,Si
,26,Desconocido,Universitario sin graduar,4313,Casado,Femenino,0,20,No
,56,Desconocido,Niño,3016,Soltero,Masculino,0,19,Si
,55,Privado,Universitario,600,Soltero,Masculino,6,48,Si
,36,Independiente,7 grado,4903,Casado,Masculino,1,52,No
,42,Desconocido,7 grado,6244,Viudo,Femenino,0,20,Si
,62,Privado,Licenciatura,6592,Casado,Masculino,6,52,Si
,51,Privado,Universitario sin graduar,3077,Soltero,Femenino,6,44,No
,40,Privado,Bachiller,5039,Casado,Masculino,4,52,Si
,50,Desconocido,Niño,2271,Soltero,Masculino,0,28,No
,32,Desempleado,Universitario,6185,Casado,Masculino,1,52,No
,46,Desconocido,Universitario sin graduar,565,Casado,Masculino,6,52,Si
,69,Desconocido,Niño,3089,Soltero,Masculino,0,26,No
,20,Desconocido,Bachiller,8640,Casado,Femenino,0,30,Si
,53,Desconocido,10 grado,3218,Soltero,Masculino,0,19,Si
,50,Desconocido,7 grado,9984,Casado,Masculino,0,27,Si
,34,Gobierno local,Bachiller,6890,Casado,Femenino,4,48,No
,41,Privado,Normalista,350,Casado,Masculino,2,52,No
,28,Privado,Universitario sin graduar,3262,Soltero,Femenino,3,52,Si
,56,Desempleado,Magister,6504,Soltero,Masculino,6,52,Si
,54,Desconocido,Magister,544,Viudo,Masculino,0,23,No
,45,Privado,Licenciatura,9778,Casado,Masculino,4,52,No
,55,Desconocido,Bachiller,8267,Casado,Masculino,0,19,No
,32,Desconocido,7 grado,5097,Soltero,Masculino,4,45,No
,43,Privado,10 grado,5039,Divorciado,Masculino,1,52,No
,35,Privado,Bachiller,5195,Soltero,Masculino,3,52,Si
,67,Independiente,Técnico,1519,Divorciado,Masculino,1,52,No
,25,Privado,Licenciatura,9341,Casado,Femenino,1,52,Si
,68,Desconocido,9 grado,1050,Soltero,Masculino,0,20,No
,47,Privado,9 grado,800,Casado,Masculino,2,52,No
,50,Desconocido,Niño,6866,Soltero,Masculino,0,24,Si
,29,Desconocido,Niño,3548,Soltero,Masculino,0,32,No
,46,Desconocido,Grado 11 sin diploma,5381,Viudo,Femenino,0,20,Si
,63,Privado,Magister,7348,Casado,Femenino,6,52,Si
,69,Desconocido,Licenciatura,4497,Casado,Masculino,5,41,No
,56,Desconocido,Bachiller,9242,Soltero,Femenino,0,29,No
,24,Privado,9 grado,4581,Soltero,Femenino,2,47,Si
,27,Desconocido,Universitario sin graduar,5012,Soltero,Femenino,5,43,No
,43,Gobierno local,Universitario sin graduar,3482,Casado,Femenino,4,49,Si
,26,Desconocido,Niño,6745,Soltero,Femenino,0,23,Si
,54,Privado,Bachiller,2675,Casado,Masculino,0,18,Si
,50,Desconocido,10 grado,8555,Casado,Femenino,0,22,Si
,29,Desconocido,Niño,6380,Soltero,Masculino,0,17,Si
,27,Desconocido,7 grado,2033,Soltero,Masculino,0,30,Si
,65,Privado,Licenciatura,340,Separado,Masculino,3,52,No
,23,Desconocido,Universitario sin graduar,150,Viudo,Femenino,0,25,No
,30,Independiente,10 grado,4446,Casado,Masculino,1,46,No
,54,Desconocido,Bachiller,1262,Soltero,Femenino,0,29,Si
,47,Desconocido,9 grado,3402,Soltero,Masculino,0,21,No
,64,Desconocido,Desconocido,2015,Viudo,Masculino,0,17,Si
,49,Desconocido,Universitario sin graduar,3143,Casado,Masculino,0,20,Si
,65,Desconocido,Niño,4172,Soltero,Femenino,0,32,No
,37,Desconocido,3 primaria,3119,Soltero,Femenino,0,26,No
,47,Desconocido,Niño,6670,Soltero,Masculino,0,24,Si
,65,Desconocido,Bachiller,7998,Casado,Masculino,0,20,No
,54,Privado,Normalista,2371,Casado,Masculino,4,52,No
,35,Privado,9 grado,8110,Soltero,Masculino,0,28,Si
,24,Desconocido,Bachiller,4465,Soltero,Femenino,2,42,Si
,40,Privado,Universitario sin graduar,8120,Casado,Femenino,3,46,Si
,56,Gobierno local,Magister,9131,Casado,Masculino,6,49,Si
,32,Desconocido,10 grado,887,Casado,Masculino,0,29,Si
,32,Desconocido,Licenciatura,5796,Viudo,Masculino,0,22,No
,28,Desconocido,Niño,6315,Soltero,Femenino,0,22,No
,27,Desconocido,Niño,2763,Soltero,Femenino,0,26,Si
,50,Desconocido,Universitario sin graduar,9818,Soltero,Femenino,0,27,No
,63,Privado,10 grado,8123,Soltero,Masculino,3,45,No
,69,Privado,Licenciatura,5576,Casado,Masculino,1,52,No
,22,Desconocido,Magister,4981,Casado,Femenino,0,25,Si
,50,Privado,Bachiller,959,Casado,Masculino,1,52,Si
,48,Desconocido,Magister,7531,Divorciado,Masculino,6,52,No
,26,Desconocido,Niño,6980,Soltero,Femenino,0,19,No
,21,Privado,Bachiller,8147,Casado,Masculino,4,47,Si
,34,Desconocido,Universitario sin graduar,4347,Soltero,Femenino,4,43,Si
,25,Informal,Licenciatura,2173,Casado,Femenino,1,47,Si
,19,Desconocido,Bachiller,6283,Casado,Femenino,2,50,No
,50,Desconocido,Universitario sin graduar,657,Soltero,Masculino,0,19,Si
,25,Desconocido,Bachiller,1440,Casado,Masculino,0,19,Si
,68,Privado,Licenciatura,3185,Soltero,Femenino,6,52,No
,60,Desconocido,Bachiller,2237,Casado,Femenino,0,19,No
,43,Desconocido,Niño,5041,Soltero,Masculino,0,32,No
,18,Desconocido,5 primaria,4653,Soltero,Masculino,2,41,Si
,32,Privado,Bachiller,8558,Casado,Femenino,6,43,Si
,34,Privado,Bachiller,5748,Casado,Masculino,1,52,Si
,18,Privado,Universitario,1240,Divorciado,Femenino,4,52,No
,61,Desconocido,Niño,380,Soltero,Masculino,0,21,No
,66,Desconocido,Niño,3935,Soltero,Masculino,0,30,Si
,60,Gobierno Nacional,PhD,6854,Casado,Femenino,6,52,Si
,44,Desconocido,Niño,3118,Soltero,Masculino,0,22,No
,21,Desempleado,Universitario sin graduar,2200,Casado,Femenino,6,52,No
,57,Desconocido,Desconocido,9863,Soltero,Masculino,0,22,Si
,23,Privado,Universitario sin graduar,3473,Casado,Masculino,4,52,No
,63,Desconocido,Bachiller,5893,Viudo,Femenino,0,21,No
,61,Independiente,Bachiller,6288,Casado,Masculino,1,52,No
,63,Desconocido,Niño,4087,Soltero,Masculino,0,20,No
,30,Desconocido,Universitario sin graduar,8701,Casado,Femenino,5,40,Si
,18,Desconocido,Niño,333,Soltero,Femenino,0,33,No
,49,Desconocido,Normalista,493,Casado,Masculino,0,21,No
,65,Privado,Bachiller,3177,Soltero,Masculino,6,52,Si
,58,Gobierno Nacional,Normalista,8592,Cónyuge ausente,Femenino,3,52,Si
,18,Privado,Bachiller,853,Casado,Femenino,6,52,Si
,61,Desconocido,Niño,2358,Soltero,Masculino,0,18,No
,22,Gobierno local,Magister,7061,Casado,Femenino,6,48,No
,18,Privado,Bachiller,6012,Casado,Femenino,2,48,Si
,34,Desconocido,Magister,7096,Casado,Masculino,0,32,Si
